sample_id,arch_code,sample_node,energy
88,"[1, 1, 1, 1, 1, 0, 5, 0, 5, 1, 2, 2]",random,-1.0939005242821758
89,"[0, 0, 0, 0, 1, 0, 5, 5, 5, 1, 2, 2]",random,-1.0287635603842702
90,"[1, 1, 0, 0, 0, 0, 4, 4, 4, 4, 2, 2]",random,-1.1977602984265743
91,"[1, 0, 1, 1, 0, 1, 5, 5, 5, 2, 5, 1]",random,-1.220726589233239
92,"[1, 1, 0, 0, 0, 1, 4, 2, 3, 5, 2, 3]",random,-1.1526252080229586
93,"[1, 0, 1, 0, 0, 0, 5, 5, 5, 2, 2, 1]",random,-0.6453989100677807
94,"[1, 1, 0, 0, 1, 0, 1, 4, 1, 4, 3, 4]",random,-0.8746071870072948
95,"[0, 1, 1, 0, 0, 1, 4, 4, 5, 1, 3, 0]",random,-1.0534711510026615
96,"[1, 0, 1, 1, 1, 0, 5, 5, 1, 4, 2, 4]",random,-0.8974029065254163
97,"[0, 0, 1, 0, 1, 1, 4, 0, 4, 2, 3, 4]",random,-1.1877512116071085
98,"[1, 0, 0, 1, 1, 0, 1, 2, 3, 5, 0, 0]",random,-0.39050147697227805
99,"[1, 0, 1, 1, 1, 1, 1, 2, 0, 5, 2, 2]",random,-0.9662527661876212
100,"[0, 0, 1, 1, 0, 1, 3, 2, 4, 5, 0, 1]",random,-0.7551001540924049
101,"[1, 1, 0, 0, 0, 0, 3, 0, 1, 1, 5, 1]",random,-0.3850449249709317
102,"[0, 0, 1, 1, 0, 1, 4, 4, 3, 5, 0, 3]",random,-0.916112621848896
103,"[0, 0, 1, 1, 1, 1, 1, 4, 1, 0, 2, 0]",random,-1.2306285777423842
104,"[0, 1, 1, 0, 0, 1, 3, 5, 0, 2, 3, 1]",random,-0.5133967297020657
105,"[0, 1, 0, 1, 1, 1, 1, 4, 5, 2, 1, 2]",random,-0.7969540727347885
106,"[0, 0, 1, 1, 0, 1, 2, 0, 1, 2, 5, 0]",random,-0.8059993576061038
107,"[0, 1, 1, 0, 0, 1, 4, 4, 0, 0, 3, 3]",random,-0.795412506902754
108,"[1, 1, 1, 0, 0, 0, 1, 4, 3, 5, 3, 0]",random,-0.7088842236421297
109,"[0, 1, 1, 0, 0, 1, 5, 3, 3, 4, 2, 2]",random,-0.955220196409965
110,"[1, 0, 1, 1, 1, 1, 4, 4, 0, 4, 0, 4]",random,-0.38305595437856005
111,"[0, 0, 0, 1, 0, 0, 4, 5, 4, 0, 5, 1]",random,-0.599766653008522
112,"[0, 0, 1, 0, 1, 0, 5, 5, 1, 0, 5, 4]",random,-0.7404522406102885
113,"[1, 1, 0, 1, 0, 1, 3, 3, 5, 2, 2, 2]",random,-0.7008984586283936
114,"[0, 1, 0, 0, 1, 0, 1, 3, 0, 2, 1, 3]",random,-0.7459460456438283
115,"[1, 1, 0, 0, 1, 1, 5, 5, 4, 0, 5, 0]",random,-0.33940534512024045
116,"[0, 0, 1, 0, 0, 1, 1, 3, 4, 2, 2, 1]",random,-0.4723169979510133
117,"[0, 1, 1, 1, 0, 1, 2, 5, 4, 5, 5, 3]",random,-0.738251939738459
118,"[0, 1, 0, 0, 0, 1, 3, 3, 3, 0, 2, 4]",random,-0.6262871720075752
119,"[1, 1, 1, 0, 1, 1, 2, 2, 4, 5, 0, 2]",random,-0.7197970350305538
120,"[0, 0, 1, 1, 0, 0, 2, 3, 0, 2, 5, 2]",random,-1.1594502758024468
121,"[1, 0, 1, 0, 1, 1, 2, 3, 3, 2, 2, 1]",random,-0.8732771599125854
122,"[1, 0, 0, 0, 0, 1, 2, 3, 5, 4, 2, 1]",random,-0.5906069516076139
123,"[0, 0, 0, 1, 0, 0, 3, 5, 4, 2, 0, 2]",random,-0.07796302691784347
124,"[0, 0, 0, 1, 1, 1, 5, 2, 3, 5, 0, 2]",random,-0.5454580456215593
125,"[0, 1, 1, 0, 1, 0, 4, 0, 1, 0, 1, 0]",random,-0.6913846694226312
126,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 3]",random,-0.5437360902129639
127,"[0, 1, 0, 0, 1, 0, 4, 2, 0, 2, 2, 2]",random,-0.5426228948241765
128,"[0, 1, 1, 0, 0, 0, 4, 4, 4, 5, 2, 0]",random,-1.0255587738562821
129,"[0, 1, 1, 1, 1, 0, 1, 2, 5, 0, 1, 1]",random,-0.7213436367776274
130,"[0, 1, 1, 1, 0, 1, 3, 4, 3, 1, 1, 1]",random,-0.0023235236683892325
131,"[1, 0, 0, 0, 1, 1, 3, 2, 1, 5, 3, 4]",random,-0.696676867083846
132,"[0, 1, 0, 1, 0, 0, 5, 0, 4, 4, 5, 4]",random,-0.8339539769475748
133,"[0, 1, 1, 0, 1, 0, 4, 2, 4, 1, 3, 3]",random,-0.512933580033274
